"SYMBOL","GENE_NAME","MODULE","PROBEID","ENTREZ"
"UBE2L6","ubiquitin-conjugating enzyme E2L 6","M3.4","ILMN_1703108","9246"
"UBE2L6","ubiquitin-conjugating enzyme E2L 6","M3.4","ILMN_1769520","9246"
"UBQLNL","ubiquilin-like","M9.2","ILMN_1748907","143630"
"UHRF1","ubiquitin-like with PHD and ring finger domains 1","M3.3","ILMN_1786065","29128"
"UNC93B1","unc-93 homolog B1 (C. elegans)","M5.12","ILMN_1654812","81622"
"UNC93B1","unc-93 homolog B1 (C. elegans)","","ILMN_2193591","81622"
"USP18","ubiquitin specific peptidase 18","","ILMN_3240420","11274"
"USP25","ubiquitin specific peptidase 25","M5.2","ILMN_1670764","29761"
"USP41","","M9.36","ILMN_1690365",""
"VCPIP1","valosin containing protein (p97)/p47 complex interacting protein 1","M6.3","ILMN_1682180","80124"
"VNN3","vanin 3","M4.13","ILMN_1804935","55350"
"VPS37B","vacuolar protein sorting 37 homolog B (S. cerevisiae)","M7.3","ILMN_1710427","79720"
"VPS39","vacuolar protein sorting 39 homolog (S. cerevisiae)","M7.21","ILMN_1770388","23339"
"WBP5","WW domain binding protein 5","M9.14","ILMN_1679838","51186"
"WSB1","WD repeat and SOCS box containing 1","","ILMN_2415748","26118"
"XAF1","XIAP associated factor 1","M1.2","ILMN_1742618","54739"
"XAF1","XIAP associated factor 1","","ILMN_2370573","54739"
"XIST","X inactive specific transcript (non-protein coding)","M9.33","ILMN_1764573","7503"
"XRN1","5-3 exoribonuclease 1","M8.85","ILMN_1809086","54464"
"ZBP1","Z-DNA binding protein 1","M3.4","ILMN_1765994","81030"
"ZC3H12A","zinc finger CCCH-type containing 12A","M8.3","ILMN_1672295","80149"
"ZC3HAV1","zinc finger CCCH-type, antiviral 1","M5.12","ILMN_1729973","56829"
"ZDHHC12","zinc finger, DHHC-type containing 12","M7.1","ILMN_1703370","84885"
"ZNF684","zinc finger protein 684","M3.4","ILMN_1751393","127396"
"ZNFX1","zinc finger, NFX1-type containing 1","M5.12","ILMN_1745148","57169"
"ZWINT","ZW10 interacting kinetochore protein","","ILMN_2362549","11130"
"","","","",""
